Characteristic,Included,Excluded,Included non-missing,Excluded non-missing,SMD
"Knees, n",3412,5703,"3,412","5,703",—
"Participants, n",2179,3416,"2,179","3,416",—
Post-landmark hardware-defined KR/TKA event,1140 (33.4%),253 (4.4%),"3,412","5,703",0.740
"Post-landmark follow-up, months",30.1 (30.4),11.1 (28.6),"3,412","5,703",0.645
24-month KL grade,2.4 (1.2),1.9 (1.3),"3,412","5,703",0.382
Baseline KL grade,2.2 (1.2),1.8 (1.2),"3,412","5,703",0.354
"Ethnicity, overall SMD",—,—,"3,412","5,703",0.342
"Age, years",63.9 (11.8),60.0 (14.1),"3,412","5,703",0.300
"Race, overall SMD",—,—,"3,412","5,703",0.211
Female,2396 (70.2%),3630 (63.7%),"3,412","5,703",0.140
"Baseline pain score, 0-10",3.4 (3.4),3.4 (3.4),"2,387","3,495",0.014
Right knee,1684 (49.4%),2805 (49.2%),"3,412","5,703",0.003
"24-month pain score, 0-10",3.4 (3.4),3.4 (3.4),"3,412","2,955",0.001
