"Horizon, months",At risk,Events,Analysis,AUC,AUC 95% CI,Mean predicted risk,Observed risk,Observed 95% CI,IPCW Brier score
12,"2,308",656,Original transport,0.700,0.677–0.723,1.9%,20.0%,18.6%–21.4%,0.218
12,"2,308",656,Apparent slope+baseline recalibration,0.700,0.677–0.723,19.9%,20.0%,18.6%–21.4%,0.170
24,"1,508",855,Original transport,0.709,0.686–0.731,4.4%,28.0%,26.4%–29.7%,0.359
24,"1,508",855,Apparent slope+baseline recalibration,0.709,0.686–0.731,27.8%,28.0%,26.4%–29.7%,0.262
36,"1,009",935,Original transport,0.723,0.698–0.749,7.1%,32.5%,30.7%–34.3%,0.474
36,"1,009",935,Apparent slope+baseline recalibration,0.723,0.698–0.749,32.3%,32.5%,30.7%–34.3%,0.339
60,483,"1,045",Original transport†,0.766,0.734–0.798,12.9%,42.5%,40.2%–44.8%,0.687
60,483,"1,045",Apparent slope+baseline recalibration†,0.766,0.734–0.798,42.7%,42.5%,40.2%–44.8%,0.447
