"model","analysis_set","n","participants","events","model_specific_n","model_specific_participants","model_specific_events","c_index","aic","likelihood_ratio","auc_24m","brier_24m","mean_pred_risk_24m","observed_km_risk_24m","auc_60m","brier_60m","mean_pred_risk_60m","observed_km_risk_60m","auc_96m","brier_96m","mean_pred_risk_96m","observed_km_risk_96m","optimism","optimism_corrected_c_index","bootstrap_used","split_c_index_mean","split_c_index_sd","split_c_index_q025","split_c_index_q975"
"A_basic","common_complete",3066,1640,559,8308,4215,831,0.539429392350271,8309.39779434027,6.49281525835795,0.590105413128217,0.0378361275011407,0.033904171930421,0.0338887499857419,0.535128941410348,0.128862211782228,0.104291598507364,0.104115856234941,0.553093941054487,0.260577374365927,0.174321354544528,0.173765129139838,0.0089753280596144,0.530454064290656,100,0.524877862525363,0.020981325940474,0.490174987724362,0.568757838146123
"B_baseline_symptoms","common_complete",3066,1640,559,8277,4204,827,0.636073539560847,8235.75126763473,46.3160786111284,0.688084794736547,0.0375288704889466,0.0339365821698748,0.0338887499857419,0.653878366189924,0.126004770961269,0.10403024438976,0.104115856234941,0.663890231978425,0.251685131548219,0.174099687716341,0.173765129139838,0.00776681516492985,0.628306724395917,100,0.629240969376869,0.020506405491454,0.589945960466508,0.666841818688205
"C_baseline_symptoms_imaging","common_complete",3066,1640,559,3385,1805,602,0.716586307106539,8009.41684265486,162.483291101066,0.744391173151268,0.0363114170415201,0.0337367337484147,0.0338887499857419,0.731233088519521,0.118659728613256,0.0989453778675157,0.104115856234941,0.72018609848607,0.23345537074754,0.161959534457575,0.173765129139838,0.00709025471247754,0.709496052394062,100,0.708510168485624,0.0169635767982863,0.675843138429982,0.741332287101411
"D_dynamic_clinical","common_complete",3066,1640,559,8216,4180,821,0.688305688705687,8153.20859237353,89.5874162417281,0.790122221599686,0.0368579630275082,0.0339760322894084,0.0338887499857419,0.715080899000497,0.122113649847681,0.103971917784781,0.104115856234941,0.716401809410222,0.24077441622646,0.174077482029969,0.173765129139838,0.0079650109900765,0.68034067771561,100,0.678954597859351,0.0228729331873254,0.642072604321794,0.717007945385901
"E_dynamic_clinical_imaging","common_complete",3066,1640,559,3066,1640,559,0.770141924216318,7853.04596056536,245.668732145817,0.829370002481251,0.0350237602004053,0.0338761234556258,0.0338887499857419,0.796725385167596,0.11057159142635,0.0990961754048794,0.104115856234941,0.781454619690767,0.216073919672737,0.161931932429638,0.173765129139838,0.00618740099368667,0.763954523222632,100,0.757511698326819,0.0186507722694153,0.727624517095999,0.793616646374754
