"model","term","hazard_ratio","ci_lower_95","ci_upper_95","p_value"
"OAI Model F-core","age",1.00164212157999,0.99110139971482,1.01229494783476,0.761143631599106
"OAI Model F-core","female",0.872984190979845,0.706426193117399,1.07881248618153,0.208527992384392
"OAI Model F-core","right_knee",1.00442567835968,0.878829852184387,1.14797072589272,0.948338870403773
"OAI Model F-core","pain_landmark_z",1.33757970504041,1.23458404372243,1.44916782007124,1.12215385280105e-12
"OAI Model F-core","kl_baseline",2.1781103692125,1.92112112694666,2.46947717867803,5.55418439235687e-34
"OAI Model F-core","kl_worsening",2.77159264503744,2.19662639655277,3.49705612300791,8.4210733940617e-18
