"model","n","events","concordance","concordance_se","loglik_null","loglik_model","aic"
"baseline",3313,593,0.721326367915634,0.0112316128872905,-4449.8316365332,-4278.14711621675,8574.2942324335
"dynamic",7830,800,0.837094112961916,0.00746015696769889,-6848.91858373235,-6207.28972162104,12446.5794432421
