"model","term","beta","hazard_ratio","ci_lower_95","ci_upper_95","robust_se","p_value","p_value_formatted"
"common_change","age",-0.00123875708805985,0.998762009854784,0.987948677453467,1.0096936967418,0.00555406705358403,0.823507461727778,"0.824"
"common_change","female",-0.114392290573926,0.891908000143462,0.719932051056742,1.10496522491567,0.109290862522733,0.295248328305717,"0.295"
"common_change","bmi",-0.0191703197706117,0.981012262229522,0.959739567749146,1.00275646746726,0.0111854071407739,0.086552833201595,"0.087"
"common_change","right_knee",0.00942270111380073,1.00946723452705,0.879573871020686,1.15854293898156,0.0702770196123435,0.893339783446218,"0.893"
"common_change","womac_pain_24m",0.0478386691505358,1.0490014053844,0.986680132705278,1.11525905105777,0.0312495750160821,0.125804434067326,"0.126"
"common_change","womac_pain_delta_0_24m",0.0266107600905717,1.02696798802997,0.978601381276292,1.07772507643799,0.0246135383696834,0.279633411257592,"0.280"
"common_change","womac_function_24m",0.0112534109773674,1.01131696879702,0.99210948173437,1.03089631760079,0.00978345738188626,0.250041375683474,"0.250"
"common_change","womac_function_delta_0_24m",-0.00783970071175802,0.992190949593161,0.977061659861369,1.00755450847826,0.00783984650540448,0.317319507560106,"0.317"
"common_change","kl_24m",0.828467120078577,2.28980605096708,1.97567492811407,2.6538838330304,0.0752855896913449,3.64232072915243e-28,"<0.001"
"common_change","kl_delta_0_24m",-0.223541843984243,0.79968142931037,0.563592226840013,1.13466857406713,0.178514732825915,0.21048537339334,"0.210"
"common_change","jsn_medial_24m",0.00819927240772933,1.00823297850057,0.901206417574952,1.12796992909961,0.0572562672571203,0.886129816893153,"0.886"
"common_change","jsn_medial_delta_0_24m",0.509154153386174,1.66388320958138,1.17596034309918,2.35425229377258,0.177079287716719,0.00403657657656207,"0.004"
"full_change","age",-0.000342784161676139,0.999657274582102,0.988635134724214,1.0108022985686,0.00565681552709624,0.951680428714713,"0.952"
"full_change","female",-0.0781891974118476,0.924789442221798,0.740555064146993,1.15485742229041,0.113352128719603,0.490326077644895,"0.490"
"full_change","bmi",-0.0173847437684127,0.982765498985743,0.961200644379764,1.00481416824259,0.0113202901357953,0.124608199116593,"0.125"
"full_change","right_knee",0.00280943805431456,1.00281338822379,0.872842224379255,1.1521379964358,0.0708226818007691,0.968357319559392,"0.968"
"full_change","womac_pain_24m",0.0400663465081561,1.04087983064371,0.978440525838169,1.10730370751229,0.0315626317328592,0.204290058328631,"0.204"
"full_change","womac_pain_delta_0_24m",0.0301921659658108,1.03065257127166,0.981828479034843,1.08190457432351,0.0247610757983061,0.22271523692615,"0.223"
"full_change","womac_function_24m",0.0129850224092165,1.01306969390287,0.993749956193233,1.03276503139275,0.00982399659227032,0.186246160353707,"0.186"
"full_change","womac_function_delta_0_24m",-0.00817372276455825,0.991859591278981,0.976782919580976,1.00716897182655,0.00781500057717843,0.295606397227232,"0.296"
"full_change","kl_24m",0.802335792499359,2.23074540622401,1.91509780570703,2.59841823877625,0.0778417863277744,6.53352931541262e-25,"<0.001"
"full_change","kl_delta_0_24m",-0.248036017488505,0.780331837178906,0.546753434427123,1.11369721299148,0.181493804596043,0.171739340367189,"0.172"
"full_change","jsn_medial_24m",-0.00501276820704587,0.994999774748441,0.888855309855449,1.11381969683058,0.0575561823917786,0.930597208079391,"0.931"
"full_change","jsn_medial_delta_0_24m",0.559544789812271,1.74987575769502,1.23678847793239,2.47581961022775,0.177057695842031,0.00157639299276304,"0.002"
"full_change","prior_knee_injury",-0.116325921914215,0.890185045198404,0.704849167277847,1.12425388506207,0.11910704794099,0.328742358648842,"0.329"
"full_change","prior_knee_surgery",0.259582151077519,1.29638827903128,0.990142937178842,1.69735348999022,0.137496463450303,0.0590368592892197,"0.059"
