"model","term","hazard_ratio","ci_lower_95","ci_upper_95","p_value"
"Model F OAI-MRKR transport","age",1.00084824865145,0.99029867682158,1.01151020421807,0.875380988616967
"Model F OAI-MRKR transport","female",0.893328543427864,0.724278531843774,1.10183562181722,0.291928336773703
"Model F OAI-MRKR transport","sideleft",0.989473702173752,0.864937372176485,1.13194115410897,0.87746296092834
"Model F OAI-MRKR transport","pain_24_0_10",1.17495577155641,1.12204556102185,1.23036097024124,6.97328558386673e-12
"Model F OAI-MRKR transport","kl_0",2.25544395470052,1.9936085475605,2.55166814920609,3.54675108359304e-38
"Model F OAI-MRKR transport","kl_change",2.73788483289555,2.22914604098904,3.36272869536787,7.76990222095295e-22
