metric,value
knee_rows_total,9592
participant_count,4796
eligible_knee_rows_first_pass,9523
excluded_baseline_kr_knees,69
kr_events_total,935
kr_events_eligible_first_pass,934
eligible_with_baseline_womac_pain,9520
eligible_with_baseline_xray_kl,4005
eligible_with_baseline_jsw,6183
complete_core_first_pass,4004
complete_core_kr_events_first_pass,687
