"model","term","beta","hazard_ratio","ci_lower_95","ci_upper_95","p_value"
"Model E with prespecified time-varying coefficient terms","tt(age)",-0.0206873712763284,0.979525144402359,0.968785814525537,0.990383523510161,0.000235160714228106
"Model E with prespecified time-varying coefficient terms","tt(pain_0)",-0.0347291000964486,0.965867034106224,0.947100869384899,0.98500503772004,0.000522002707002028
"Model E with prespecified time-varying coefficient terms","tt(function_change)",-0.0179492531581544,0.982210875193549,0.973883109025416,0.990609852874346,3.60175621373859e-05
"Model E with prespecified time-varying coefficient terms","tt(kl_0)",-0.0250929760835303,0.975219235747912,0.779499465964078,1.22008108959573,0.826222093924998
"Model E with prespecified time-varying coefficient terms","tt(kl_change)",-0.233103182354497,0.7920718414702,0.637199188530111,0.984586630590706,0.0357380287370389
"Model E with prespecified time-varying coefficient terms","tt(jsn_medial_0)",-0.100225498470222,0.904633401585956,0.805733427167083,1.01567288097044,0.0897536820851225
