"cohort_model","metric","horizon_months","estimate","ci_lower_95","ci_upper_95","bootstrap_reps"
"OAI Model F-core apparent","auc",12,0.847296575917029,0.791788484791806,0.900279525007099,500
"OAI Model F-core apparent","auc",24,0.820252535835409,0.778456578642994,0.862141445369704,500
"OAI Model F-core apparent","auc",60,0.780015465583719,0.753354261801764,0.807737954784989,500
"OAI Model F-core apparent","c_index",0,0.758636001209755,0.73905667753808,0.778847767193717,500
"MRKR original OAI-derived Model F-core","auc",12,0.699875763516084,0.678982753300415,0.720235550747274,500
"MRKR original OAI-derived Model F-core","auc",24,0.708841345184358,0.685768392648533,0.731315892277653,500
"MRKR original OAI-derived Model F-core","auc",60,0.765680010302436,0.734161205966336,0.796547907030897,500
"MRKR original OAI-derived Model F-core","c_index",0,0.681142533646572,0.665503455473455,0.696891405784931,500
