"strict_definition","cutoff_months","n_knees","n_patients","total_events","events_by_24m","c_index","auc_24m","observed_km_24m_risk","original_mean_predicted_24m_risk","recalibrated_mean_predicted_24m_risk","calibration_slope","calibration_slope_p_value"
"MRKR all",0,3412,2179,1140,855,0.681142533646572,0.708841345184358,0.279831457357236,0.0441181958494664,0.278240842621467,0.681400186474898,2.20127817957987e-88
"Exclude events <= 3 months",3,3084,1992,812,527,0.665080893019513,0.684988096376567,0.202356401759589,0.0415532402553549,0.200400561708049,0.631597016686856,1.24765876774927e-57
"Exclude events <= 6 months",6,2908,1906,636,351,0.657064187406448,0.67196887256569,0.152133547535645,0.0401390572147705,0.150226157849003,0.609895512807849,7.61931241358806e-44
"Exclude events <= 12 months",12,2756,1813,484,199,0.658868312827543,0.66657558348773,0.100174256476892,0.0391455386650553,0.0989523221964437,0.614753952494474,5.24807597547987e-35
