"model","term","hazard_ratio","ci_lower_95","ci_upper_95","p_value"
"A_basic","age",1.00547307558574,0.995227813852555,1.0158238060232,0.296242278841611
"A_basic","female",0.775158618265506,0.635646167471026,0.94529144392061,0.0118797575213473
"A_basic","bmi",1.0168875815216,0.997607484731724,1.03654029192746,0.0864005355245102
"A_basic","sideright",1.0200605672864,0.897780621072273,1.15899534531041,0.760468182301021
"B_baseline_symptoms","age",1.00808837577664,0.997705149586771,1.0185796613327,0.127251106115736
"B_baseline_symptoms","female",0.695876077304292,0.567815389558663,0.852818581301203,0.000475334281322122
"B_baseline_symptoms","bmi",0.996178202532561,0.97575926335362,1.01702443263545,0.717069828222844
"B_baseline_symptoms","sideright",1.01227761733466,0.888166668472074,1.15373162597912,0.854912013667269
"B_baseline_symptoms","pain_0",1.02220349703644,0.978742026365766,1.06759489345055,0.321851655501133
"B_baseline_symptoms","function_0",1.00905623696118,0.992918186649933,1.02545658145874,0.273085163487527
"B_baseline_symptoms","stiffness_0",1.12924136019755,1.03496683941673,1.2321032916373,0.00628214193196368
"C_baseline_symptoms_imaging","age",0.996047369669029,0.985552934864737,1.00665355205984,0.463647998924421
"C_baseline_symptoms_imaging","female",0.948853282205151,0.765479537938676,1.17615495454774,0.631825369117327
"C_baseline_symptoms_imaging","bmi",0.985445994663139,0.96504889552756,1.00627420320164,0.169486701221464
"C_baseline_symptoms_imaging","sideright",1.0179706805142,0.889789281612844,1.1646176547645,0.795334379103292
"C_baseline_symptoms_imaging","pain_0",0.990606826635741,0.947732480897824,1.03542075929244,0.675902544152438
"C_baseline_symptoms_imaging","function_0",1.01097956561022,0.995437321712521,1.02676447807188,0.167146990582068
"C_baseline_symptoms_imaging","stiffness_0",1.10444647975279,1.01337999427602,1.2036965733765,0.0236548559828496
"C_baseline_symptoms_imaging","kl_0",2.22011301473795,1.74262126330854,2.82844121209151,1.08239621498009e-10
"C_baseline_symptoms_imaging","jsn_medial_0",1.01429291866718,0.830634139784587,1.23855988525247,0.889256350849231
"C_baseline_symptoms_imaging","jsn_lateral_0",0.955161983548661,0.779575788378133,1.17029598458243,0.658032815488602
"D_dynamic_clinical","age",1.01100740521075,1.00040477244327,1.02172240831541,0.041830775729095
"D_dynamic_clinical","female",0.655842239062767,0.534596330698414,0.804586597100151,5.23780827327634e-05
"D_dynamic_clinical","bmi",0.986823918869566,0.966151693888281,1.00793845626243,0.219472073281846
"D_dynamic_clinical","sideright",0.969943881239417,0.849795286795841,1.10707972540192,0.651058557689226
"D_dynamic_clinical","pain_0",1.10824230209051,1.04427304623399,1.17613013624378,0.000703836709928816
"D_dynamic_clinical","function_0",0.99799530714732,0.977557637127576,1.01886026486855,0.849244045516083
"D_dynamic_clinical","stiffness_0",1.13110468210276,1.03499115507665,1.23614370576918,0.00654684829946044
"D_dynamic_clinical","pain_change",1.1368625389392,1.08587928869391,1.19023950995313,4.26669322755005e-08
"D_dynamic_clinical","function_change",1.00071452776276,0.984632438759045,1.01705928695337,0.931140095675362
"E_dynamic_clinical_imaging","age",0.998412283364604,0.987660853993561,1.00928075011042,0.773616443134274
"E_dynamic_clinical_imaging","female",0.881079960139381,0.710957198457129,1.09191087430283,0.247412117426172
"E_dynamic_clinical_imaging","bmi",0.977793012630003,0.956592217236979,0.99946367775142,0.0446507286559165
"E_dynamic_clinical_imaging","sideright",1.00713632913275,0.874483941863261,1.15991104799223,0.921389707440349
"E_dynamic_clinical_imaging","pain_0",1.04387751880414,0.98231342066461,1.10929999666241,0.166177897935194
"E_dynamic_clinical_imaging","function_0",1.00484457118999,0.98421357953398,1.02590802773528,0.647958984280757
"E_dynamic_clinical_imaging","stiffness_0",1.07879173101877,0.986456345436458,1.17976999620755,0.0966591805082255
"E_dynamic_clinical_imaging","pain_change",1.08264075099069,1.03112001337636,1.13673576353897,0.00141359898035735
"E_dynamic_clinical_imaging","function_change",1.00298098586053,0.986424226751227,1.01981564393539,0.725974769917787
"E_dynamic_clinical_imaging","kl_0",2.50127398815963,1.9011503078556,3.29083478459987,5.75913677729278e-11
"E_dynamic_clinical_imaging","kl_change",1.38137003855248,0.916152317242245,2.08282307155475,0.12307535209924
"E_dynamic_clinical_imaging","jsn_medial_0",0.951867277485362,0.767114753325987,1.18111574574602,0.654117048570702
"E_dynamic_clinical_imaging","jsn_medial_change",2.07088806674672,1.47787555992566,2.9018528361141,2.3453469675493e-05
"E_dynamic_clinical_imaging","jsn_lateral_0",0.888926393252958,0.714074174448989,1.10659390984341,0.292065372007558
"E_dynamic_clinical_imaging","jsn_lateral_change",1.72649188714442,1.16074063706498,2.56799334941234,0.00702211448281723
