"model","n","events_60m","auc_60m","mean_predicted_risk","observed_risk","aic"
"Model C fixed-horizon logistic",2390,273,0.749154325441524,0.1142259414226,0.114225941422594,1519.21322603602
"Model E fixed-horizon logistic",2390,273,0.809612053825564,0.114225941425283,0.114225941422594,1404.07917887844
