metric,value
landmark_month,24.0
knee_rows_total,9592.0
eligible_24m_landmark_knees,8314.0
eligible_24m_landmark_participants,4218.0
events_after_24m_eligible,831.0
complete_core_24m_knees,7949.0
complete_core_24m_participants,4042.0
events_after_24m_complete_core,809.0
