cohort,included_knees,excluded_knees,included_participants,excluded_participants,included_event_rate,excluded_event_rate,max_smd
OAI,3104,5210,1656,2690,0.18234536082474226,0.0508637236084453,1.193
MRKR,3412,5703,2179,3416,0.33411488862837047,0.044362616166929686,0.74
