Horizon,Model,Knees,Patients,Events,Event rate,AUC,Brier score,Mean predicted risk,O/E,Calibration intercept,Calibration slope
60 months,Penalized logistic regression,"2,415","1,310",279,11.6%,0.789,0.089,11.6%,1.0,0.14,1.08
60 months,Longitudinal logistic regression,"2,415","1,310",279,11.6%,0.787,0.089,11.6%,1.0,-0.1,0.94
60 months,Clinical-radiographic logistic regression,"2,415","1,310",279,11.6%,0.786,0.089,11.6%,1.0,-0.09,0.95
60 months,Random forest,"2,415","1,310",279,11.6%,0.785,0.173,38.5%,0.3,-1.86,1.18
60 months,Gradient boosting,"2,415","1,310",279,11.6%,0.779,0.09,11.6%,1.0,-0.11,0.94
60 months,Pain-KL model,"2,415","1,310",279,11.6%,0.754,0.092,11.6%,1.0,-0.12,0.93
60 months,Base logistic regression,"2,415","1,310",279,11.6%,0.536,0.102,11.6%,1.0,-1.04,0.48
