"cohort","horizon_months","at_risk","cumulative_events","censored_before_horizon","observed_risk","lower_95","upper_95"
"OAI",12,3045,45,14,0.0145297757303385,0.0108685173218187,0.0194122386550937
"OAI",24,2856,103,145,0.0341444884989178,0.0282309007722252,0.0412702659477552
"OAI",36,2445,160,499,0.0561483910391102,0.0482559560445236,0.0652867673700936
"OAI",60,2136,279,689,0.105224638077545,0.0940570242375178,0.117629975583145
"MRKR",12,2308,656,448,0.199657769488711,0.186352433044143,0.213782605136663
"MRKR",24,1508,855,1049,0.279831457357236,0.26391455884334,0.296502261160075
"MRKR",36,1009,935,1468,0.324894493847476,0.307215577694289,0.343318893167211
"MRKR",60,483,1045,1884,0.424602980476789,0.401606995892127,0.44836737983461
