definition,knees,patients,events_by_24m,auc_24m,auc_lower_95,auc_upper_95,panel
Full cohort,3412,2179,855,0.708841345184358,0.6835021163010395,0.7313196326052189,a
Exclude ≤3 months,3084,1992,527,0.684988096376567,0.6547485472928478,0.7114716372182299,a
Exclude ≤6 months,2908,1906,351,0.67196887256569,0.6407145903736748,0.7024390213933964,a
Exclude ≤12 months,2756,1813,199,0.66657558348773,0.6311993920700685,0.7062982948047163,a
