cutoff_months,definition,knees,patients,events_by_24m,observed_24m,observed_lower_95,observed_upper_95,auc_24m,auc_lower_95,auc_upper_95
0,Full cohort,3412,2179,855,0.27983145735723636,0.26353888761214267,0.29612402710233005,0.708841345184358,0.6835021163010395,0.7313196326052189
3,Exclude ≤3 months,3084,1992,527,0.2023564017595889,0.18661670326666657,0.21809610025251125,0.684988096376567,0.6547485472928478,0.7114716372182299
6,Exclude ≤6 months,2908,1906,351,0.15213354753564523,0.13725495862738493,0.16701213644390553,0.67196887256569,0.6407145903736748,0.7024390213933964
12,Exclude ≤12 months,2756,1813,199,0.10017425647689193,0.08687747075336213,0.11347104220042173,0.66657558348773,0.6311993920700685,0.7062982948047163
