"horizon_months","auc","lower_95","upper_95","events","at_risk"
12,0.849187184343434,0.783068136072113,0.910231223608426,44,3009
24,0.829370002481251,0.779414178190243,0.873828400518069,101,2823
36,0.806124612260382,0.76915748765529,0.841769059063149,156,2419
60,0.796725385167596,0.762360940861588,0.82568693971356,273,2117
