"horizon_months","auc","lower_95","upper_95","events","at_risk"
12,0.699875763516084,0.677213519823556,0.723459129275102,656,2308
24,0.708841345184358,0.685971787770588,0.730810699797044,855,1508
36,0.723014792005639,0.697884689154772,0.748956285354173,935,1009
60,0.765680010302436,0.733540760292766,0.798321556726741,1045,483
