"comparison","delta_c_index","delta_c_lower_95","delta_c_upper_95","delta_auc_60m","delta_auc_lower_95","delta_auc_upper_95","lr_chisq","df","p_value"
"Model B vs A",0.0966441472105765,0.0658247295236273,0.130300015464857,0.118749424779576,0.0717285471167046,0.167765813164982,79.646526705541,3,3.65471541089054e-17
"Model C vs B",0.0805127675456923,0.0553299695217814,0.106464857959256,0.0773547223295967,0.0431649200376097,0.114827708544456,232.334424979875,3,4.32588354953893e-50
"Model D vs C",0.0210628119116812,0.0110610463139704,0.0312528390309802,0.0281554291604542,0.0129836236612459,0.0433903845680398,52.6538358437656,2,3.68438343465728e-12
"Model E vs D",0.0324928051980976,0.0197766914293541,0.0465121256673808,0.0373368674876213,0.0173271460056721,0.0591816439281082,113.717046245735,3,1.73892135257753e-24
"Model E vs C",0.0535556171097789,0.039090410851408,0.070192601896342,0.0654922966480755,0.0438687348895862,0.0894441698545081,166.370882089501,5,4.33774638784949e-34
