"predicted_risk","observed_smooth","lower_95","upper_95"
0.054220622418356,0.0440149641837622,0.0206248889532406,0.0799035595959814
0.0612172242756229,0.0503648006979722,0.026391487552954,0.0847884622423922
0.0682138261328898,0.0568133634726535,0.0327264803326648,0.0891936571805599
0.0752104279901566,0.0633642100844118,0.0399330179182129,0.0941839701264554
0.0822070298474235,0.0700204037058641,0.0470126108083709,0.0992224543839826
0.0892036317046904,0.0767845678871882,0.0543350092136697,0.104667093190894
0.0962002335619573,0.0836589475074233,0.0618474612894112,0.11048949463656
0.103196835419224,0.0906454642178124,0.0698334321661947,0.11643357122529
0.110193437276491,0.0977457633107436,0.0779415993255685,0.122488442154088
0.117190039133758,0.104961252047261,0.0865773665613707,0.129201605246333
0.124186640991025,0.112293130474706,0.0937393983065202,0.136959795478477
0.131183242848292,0.119742415966176,0.101990021287959,0.144764439839658
0.138179844705558,0.127309962626946,0.108990445413766,0.152617415083224
0.145176446562825,0.134996476542159,0.115572740946263,0.162012224942362
0.152173048420092,0.142802527662479,0.122711211579622,0.170935641410429
0.159169650277359,0.15072855896699,0.130431579256786,0.178320221573952
0.166166252134626,0.158774893411919,0.138000610312908,0.185186271622482
0.173162853991893,0.16694173906854,0.145944361429516,0.193211158000188
0.18015945584916,0.175229192770214,0.154280452956912,0.20150400808516
0.187156057706427,0.183637242522908,0.162436539899705,0.209927454752038
0.194152659563693,0.192165768882039,0.170669311106775,0.218471482421636
0.20114926142096,0.200814473207952,0.179077024238336,0.226819020625029
0.208145863278227,0.209575309169791,0.187489815520136,0.235053581748488
0.215142465135494,0.218426153062531,0.197023204296547,0.243630153372549
0.222139066992761,0.227343902559201,0.206364567395502,0.252532628674565
0.229135668850028,0.236306083934369,0.215987651404794,0.261241671791298
0.236132270707295,0.245290872764323,0.225404049097557,0.269662405274436
0.243128872564562,0.254277121617804,0.234509758110848,0.277956191039784
0.250125474421828,0.263244390886174,0.242679883267274,0.286175980178637
0.257122076279095,0.272172979913578,0.250933280137413,0.294309953044545
0.264118678136362,0.281043956355408,0.259625437113904,0.302247332455878
0.271115279993629,0.289839182283728,0.26719623211573,0.310841896774475
0.278111881850896,0.298541336017217,0.274934181762512,0.319830191160251
0.285108483708163,0.30713392901287,0.282799459469463,0.329370700201009
0.29210508556543,0.315601317439769,0.290625884035663,0.339087641688719
0.299101687422696,0.323928708278456,0.296886884240571,0.348281268126394
0.306098289279963,0.332102159964587,0.30399217784499,0.357309461298022
0.31309489113723,0.340108577732088,0.310517684726814,0.366765113908767
0.320091492994497,0.347935703915663,0.317266837229883,0.375923447275921
0.327088094851764,0.355572103550927,0.324061454437959,0.384827210740388
0.334084696709031,0.363007145666985,0.330874156109029,0.393768421339202
0.341081298566298,0.370230980704597,0.337226439042992,0.402145108953774
0.348077900423565,0.377234514516273,0.343554211171563,0.409473758614035
0.355074502280831,0.384009379415233,0.349628739220603,0.416491299350739
0.362071104138098,0.390548658495116,0.355045688955257,0.423190927787
0.369067705995365,0.396854615758598,0.361026655174161,0.429574148538848
0.376064307852632,0.402935166306985,0.367238676552557,0.435651173639183
0.383060909709899,0.408798313061576,0.373543268039129,0.441863287075886
0.390057511567166,0.414452015672576,0.380200560377506,0.448176248648802
0.397054113424433,0.41990415610853,0.386262647045294,0.45423066126447
0.4040507152817,0.425162510695568,0.392163176378525,0.46003697022544
0.411047317138966,0.430234727726366,0.397302946247282,0.465605482569048
0.418043918996233,0.435128309864203,0.402880539658537,0.470946328067704
0.4250405208535,0.439850600662641,0.406341467062341,0.475912455109201
0.432037122710767,0.44440877460667,0.409676585539262,0.480518517927928
0.439033724568034,0.448809830157278,0.414788210083479,0.485369463823925
0.446030326425301,0.453060585349121,0.420543419611309,0.491962574152221
0.453026928282568,0.457167675550904,0.426335105301042,0.49761681542159
0.460023530139834,0.461137553051053,0.430293748059056,0.501877838127171
0.467020131997101,0.464976488177896,0.432472289413324,0.505670614868663
0.474016733854368,0.468690571704598,0.435221720095562,0.511169443790233
0.481013335711635,0.472285718325084,0.437892637053628,0.51634822665104
0.488009937568902,0.475767671018719,0.43950360125248,0.52143524989517
0.495006539426169,0.479142006149171,0.44183499732815,0.525376570842174
0.502003141283436,0.48241413916699,0.444021935020137,0.529029290843445
0.508999743140703,0.485589330806653,0.446327727140213,0.532565793504469
0.515996344997969,0.488672693687286,0.447456100742234,0.535910565926345
0.522992946855236,0.491669199242528,0.448239748634683,0.540554324021221
0.529989548712503,0.494583684919221,0.448916671219061,0.546586216662266
0.53698615056977,0.497420861597196,0.449732288355785,0.553162606572011
0.543982752427037,0.500185321193468,0.451113884358675,0.560197073283925
0.550979354284304,0.50288154442407,0.452422629267127,0.567402928427094
0.557975956141571,0.505513908705565,0.453663081712198,0.574607238723902
0.564972557998837,0.508086696186283,0.454534390149496,0.58180939658551
0.571969159856104,0.51060410190467,0.454043713941856,0.588472556353126
0.578965761713371,0.513070242078922,0.453474073465714,0.594596556025826
0.585962363570638,0.51548916253851,0.452831562180418,0.600700000965439
0.592958965427905,0.517864847314393,0.452122088007341,0.606784483891694
0.599955567285172,0.520201227410817,0.451361231041249,0.612851595376992
0.606952169142439,0.522502189787685,0.451623836033561,0.618902925554539
