"model","n_knees","n_patients","events","parameters","c_index","auc_60m","brier_60m","aic","c_index_lower_95","c_index_upper_95","optimism_c","optimism_corrected_c","auc_60m_lower_95","auc_60m_upper_95","optimism_auc_60m","optimism_corrected_auc_60m","corrected_auc_60m_lower_95","corrected_auc_60m_upper_95","optimism_brier_60m","optimism_corrected_brier_60m","corrected_brier_60m_lower_95","corrected_brier_60m_upper_95"
"A",3066,1640,559,4,0.539429392350271,0.535128941410348,0.12621365644457,8309.39779434027,0.50949784345017,0.570862760975265,0.00967468839421444,0.529754703956056,0.491015774216781,0.578255572944446,0.00924841415597307,0.525880527254375,0.481767360060808,0.569007158788473,-0.000204123950971822,0.126009532493598,0.110563087054883,0.141257367019314
"B",3066,1640,559,7,0.636073539560847,0.653878366189924,0.123492051025428,8235.75126763473,0.610040167195507,0.66120649606848,0.0079394309627868,0.62813410859806,0.617224472798031,0.691988075605622,0.00663528275997592,0.647243083429948,0.610589190038055,0.685352792845646,5.10364913533145e-05,0.123543087516782,0.108292940321813,0.138568460810308
"C",3066,1640,559,10,0.716586307106539,0.731233088519521,0.11667116819451,8009.41684265486,0.692640419317722,0.738257980757847,0.00577672465018481,0.710809582456355,0.697659844787783,0.762438189471195,0.0049111713886397,0.726321917130881,0.692748673399143,0.757527018082555,0.000383283590563864,0.117054451785074,0.102722404636198,0.132018748223698
"D",3066,1640,559,12,0.737649119018221,0.759388517679975,0.114039684725155,7960.76300681109,0.714317367247447,0.76018738628006,0.00638452775111179,0.731264591267109,0.725826592696769,0.790919760947652,0.00599664035122082,0.753391877328754,0.719829952345548,0.784923120596431,0.000768982429790995,0.114808667154946,0.100660225462715,0.12919416692938
"E",3066,1640,559,15,0.770141924216318,0.796725385167596,0.109147110837379,7853.04596056536,0.747156044486685,0.79181468661983,0.0059671641872457,0.764174760029072,0.769102730573586,0.825542615574511,0.00570551519579298,0.791019869971803,0.763397215377793,0.819837100378718,0.00125768778885391,0.110404798626233,0.0970869216911903,0.12379551582005
