"predicted_risk","observed_smooth","lower_95","upper_95"
0.01,0.00925276301829121,0.0011682358036974,0.0203775054235125
0.0159409995594991,0.0126419471965959,0.00378987691989372,0.0215124769849239
0.0218819991189982,0.016195366285099,0.00756833770186603,0.024637034144067
0.0278229986784973,0.0200378102956769,0.0116074062515795,0.0276537870053354
0.0337639982379964,0.0242304240811108,0.0146841437011339,0.0325769753002553
0.0397049977974956,0.0288150751680752,0.0195223178308259,0.0389340869006868
0.0456459973569947,0.0338261903853508,0.0225901829163134,0.0444779598934247
0.0515869969164938,0.0392891625674425,0.02744284784547,0.0508948495504967
0.0575279964759929,0.0451711763739435,0.031870482976536,0.0579954222961552
0.063468996035492,0.0514108878365651,0.0367106553199324,0.0640111357722778
0.0694099955949911,0.0579512586233667,0.043428847667077,0.0712491451528964
0.0753509951544902,0.0647385580449452,0.0497082567360202,0.0776934159182621
0.0812919947139893,0.0717218832523858,0.0563035721381928,0.0850594568838904
0.0872329942734884,0.0788530726536758,0.0629667385384045,0.092252554674548
0.0931739938329876,0.0860867652685902,0.0705173419034626,0.100189254396114
0.0991149933924867,0.0933804950011908,0.078631588281078,0.107924680673719
0.105055992951986,0.100694770533346,0.0860603274644411,0.115590100622513
0.110996992511485,0.107993120870838,0.0933413040312632,0.122704701214075
0.116937992070984,0.115245027723718,0.0990410672026918,0.130643417947408
0.122878991630483,0.122438366762569,0.105196339720924,0.139952231725046
0.128819991189982,0.129567962683399,0.11115145903768,0.149520186071182
0.134760990749481,0.136629888166373,0.117281452377234,0.157856837602285
0.14070199030898,0.143621231635095,0.123192820771381,0.165619180513243
0.14664298986848,0.150539912384061,0.128753481780728,0.174012291251746
0.152583989427979,0.157384530219114,0.134186788646993,0.182186954586917
0.158524988987478,0.164154242672506,0.139798601901369,0.190129862296911
0.164465988546977,0.170848664365939,0.145875924878382,0.197788286182867
0.170406988106476,0.177467784251401,0.151314340890673,0.204716993721809
0.176347987665975,0.184011897350116,0.156664507149376,0.212272961284841
0.182288987225474,0.190481548300095,0.161927877634237,0.219831284793827
0.188229986784973,0.196877484560853,0.167612922155226,0.227042685178491
0.194170986344472,0.203200617545858,0.173738881036482,0.234473233850884
0.200111985903972,0.209451990286058,0.179401033290126,0.241672117930518
0.206052985463471,0.215632750491603,0.185235316004528,0.24863413020909
0.21199398502297,0.221744128089073,0.190926495215041,0.255365415691863
0.217934984582469,0.227787416479754,0.196641850735592,0.261890291557906
0.223875984141968,0.23376395689978,0.201545385383745,0.268377321734798
0.229816983701467,0.239675125372237,0.206675392361939,0.275002903478904
0.235757983260966,0.245522321829901,0.212369416832987,0.28211670592882
0.241698982820465,0.251306961059432,0.218074077746992,0.289127728522257
0.247639982379964,0.25703046517676,0.222735255122222,0.296104812601307
0.253580981939464,0.262694257391739,0.227372560456599,0.302469101757454
0.259521981498963,0.26829975685991,0.231970661096397,0.30918280974544
0.265462981058462,0.273848374452006,0.236530535865647,0.315345652670123
0.271403980617961,0.279341509299047,0.241053388115744,0.320740002145
0.27734498017746,0.284780545993394,0.245540390191566,0.325936612645798
0.283285979736959,0.290166852344943,0.24996849620049,0.331169124972506
0.289226979296458,0.2955017776073,0.254351365704169,0.337242064947805
0.295167978855957,0.300786651101933,0.25870026302631,0.343289130009895
0.301108978415456,0.306022781179279,0.262562686032842,0.349272726419597
0.307049977974956,0.311211454465052,0.264528242541208,0.355194576089476
0.312990977534455,0.316353935347819,0.269434529045274,0.361056370425747
0.318931977093954,0.321451465670465,0.272677588794987,0.366859769446719
0.324872976653453,0.326505264593776,0.275863364482916,0.372606401207422
0.330813976212952,0.331516528605071,0.278993820258658,0.379201183308847
0.336754975772451,0.336486431648834,0.28249652502845,0.383935713669714
0.34269597533195,0.341416125359724,0.287288288237707,0.389521488870703
0.348636974891449,0.346306739381228,0.292087825844804,0.39612127141408
0.354577974450948,0.351159381755714,0.296887573097728,0.401849194358115
0.360518974010448,0.355975139373773,0.301687203968437,0.409231777972511
0.366459973569947,0.360755078472535,0.306487028875603,0.416613934017255
0.372400973129446,0.365500245174227,0.310423000525449,0.423994886339948
0.378341972688945,0.370211666057542,0.313590688433942,0.431373861267668
0.384282972248444,0.374890348755584,0.316726030709068,0.438750087156007
0.390223971807943,0.379537282575097,0.319830169636428,0.446122793953434
0.396164971367442,0.384153439132577,0.322904214838755,0.453491212779538
0.402105970926941,0.388739773003574,0.325949244909509,0.460601210226517
0.40804697048644,0.393297222382152,0.328966308983503,0.466472950490994
0.41398797004594,0.397826709748016,0.331956428247816,0.472314309964337
0.419928969605439,0.4023291425393,0.334564393136539,0.478114592160693
0.425869969164938,0.406805413829414,0.336825525599972,0.483855109344007
0.431810968724437,0.411256403006751,0.339052085895829,0.489566510847844
0.437751968283936,0.415682976456335,0.341245294953181,0.496814791147018
0.443692967843435,0.420085988242787,0.343406335330241,0.50480208759569
0.449633967402934,0.424466280794266,0.345536353110636,0.510401560326318
0.455574966962433,0.428824685587205,0.347636459722936,0.515931331893077
0.461515966521932,0.433162023831926,0.349707733687769,0.521426440639075
0.467456966081432,0.437479107159358,0.351751222296691,0.526887655922198
0.473397965640931,0.44177673830925,0.353767943226977,0.53231573677034
0.47933896520043,0.446055711820454,0.35575888609631,0.537702173508767
