"stratum","knees","patients","events_24m","mean_predicted_24m","observed_24m","observed_lower_95","observed_upper_95"
"Low (<10%)",302,251,17,0.0688339845641499,0.0674778047276626,0.0359760918663164,0.0989795175890088
"Intermediate (10-<25%)",1377,1059,194,0.178130625113799,0.163215719135829,0.141780647235607,0.184650791036052
"High (25-<50%)",1409,1131,492,0.356779222355625,0.381728509987516,0.354481614320825,0.408975405654208
"Very high (>=50%)",324,268,152,0.554682933122127,0.508827185532732,0.450107725714068,0.567546645351396
