"horizon_months","at_risk","events","censored_before_horizon","observed_risk","observed_lower_95","observed_upper_95","analysis","mean_predicted_risk","brier"
12,2308,656,448,0.199657769488711,0.186352433044143,0.213782605136663,"Original transport",0.0188836758141109,0.217836150362716
12,2308,656,448,0.199657769488711,0.186352433044143,0.213782605136663,"Apparent slope+baseline recalibration",0.199218607635955,0.170093164477712
24,1508,855,1049,0.279831457357236,0.26391455884334,0.296502261160075,"Original transport",0.0441181958494664,0.358846946637281
24,1508,855,1049,0.279831457357236,0.26391455884334,0.296502261160075,"Apparent slope+baseline recalibration",0.278240842621467,0.2622768405363
36,1009,935,1468,0.324894493847476,0.307215577694289,0.343318893167211,"Original transport",0.0709684783457711,0.473798711153202
36,1009,935,1468,0.324894493847476,0.307215577694289,0.343318893167211,"Apparent slope+baseline recalibration",0.323184325314617,0.338526646932068
60,483,1045,1884,0.424602980476789,0.401606995892127,0.44836737983461,"Original transport",0.128933607878868,0.686881309056813
60,483,1045,1884,0.424602980476789,0.401606995892127,0.44836737983461,"Apparent slope+baseline recalibration",0.426935238421913,0.446806833646491
