definition,n_knees,total_events,events_by_24m,c_index,auc_24m,observed_24m,observed_lower_95,observed_upper_95,brier_24m,timing_note,auc_lower_95,auc_upper_95
First hardware-positive image (right endpoint),3412,1140,855,0.681142533646572,0.708841345184358,0.279831457357236,0.263538887612143,0.29612402710233,0.358846946637281,Exact/right-censored analysis,0.685971787770588,0.730810699797044
Hardware-anchored; CPT-timed within the detection interval and +/-90 days,3412,1140,855,0.680697613376144,0.708841345184358,0.279150416073481,0.262893999556213,0.29540683259075,0.357963906398078,Exact/right-censored analysis,0.685971787770588,0.730810699797044
Midpoint of last-negative to first-positive interval,3412,1140,885,0.681085289912599,0.709109500546624,0.285028507357673,0.268772665371676,0.30128434934367,0.365513571437806,Exact/right-censored analysis,0.685483963953342,0.731777610612888
