"model","term","beta","hazard_ratio","ci_lower_95","ci_upper_95","p_value"
"OAI Model F-core formula coefficients","age",0.00164077477256476,1.00164212157999,0.99110139971482,1.01229494783476,0.761143631599104
"OAI Model F-core formula coefficients","female",-0.13583783214975,0.872984190979845,0.706426193117399,1.07881248618153,0.208527992384391
"OAI Model F-core formula coefficients","right_knee",0.00441591384434222,1.00442567835968,0.878829852184387,1.14797072589272,0.948338870403771
"OAI Model F-core formula coefficients","pain_landmark_z",0.290861790566034,1.33757970504041,1.23458404372243,1.44916782007124,1.12215385280097e-12
"OAI Model F-core formula coefficients","kl_baseline",0.778457697796415,2.1781103692125,1.92112112694666,2.46947717867804,5.55418439235639e-34
"OAI Model F-core formula coefficients","kl_worsening",1.01942211707925,2.77159264503745,2.19662639655277,3.49705612300791,8.42107339406158e-18
